--- Data Balancing and Grouping Log ---

  - Writing 145 functions for project 'gnutls'
  - Writing 1374 functions for project 'php-src'
  - Writing 35 functions for project 'busybox'
  - Writing 872 functions for project 'qemu'
  - Writing 1087 functions for project 'linux-2.6'
  - Writing 8 functions for project 'history'
  - Writing 333 functions for project 'jasper'
  - Writing 37 functions for project 'xserver'
  - Writing 14 functions for project 'm4'
  - Writing 167 functions for project 'git'
  - Writing 13 functions for project 'dbus'
  - Writing 17 functions for project 'avahi'
  - Writing 51 functions for project 'rsyslog'
  - Writing 18 functions for project 'audiofile'
  - Writing 9 functions for project 'udev'
  - Writing 364 functions for project 'samba'
  - Writing 2 functions for project 'gzip'
  - Writing 23 functions for project 'evolution'
  - Writing 57 functions for project 'gimp'
  - Writing 8 functions for project 'libtool'
  - Writing 181 functions for project 'kvm'
  - Writing 38 functions for project 'network-manager-applet'
  - Writing 110 functions for project 'nautilus'
  - Writing 2 functions for project 'acl'
  - Writing 30 functions for project 'pango'
  - Writing 44 functions for project 'gnome-screensaver'
  - Writing 3 functions for project 'gnome-settings-daemon'
  - Writing 56 functions for project 'clamav-devel'
  - Writing 37 functions for project 'wget'
  - Writing 17 functions for project 'vte'
  - Writing 11 functions for project 'freetype2-demos'
  - Writing 5 functions for project 'epiphany'
  - Writing 361 functions for project 'libxml2'
  - Writing 84 functions for project 'mono'
  - Writing 66 functions for project 'exim'
  - Writing 20 functions for project 'evince'
  - Writing 22 functions for project 'patch'
  - Writing 12 functions for project 'nbd'
  - Writing 50 functions for project 'libxslt'
  - Writing 7381 functions for project 'linux'
  - Writing 59 functions for project 'gdm'
  - Writing 42 functions for project 'weechat'
  - Writing 6 functions for project 'vino'
  - Writing 10 functions for project 'cifs-utils'
  - Writing 1 functions for project 'thunar'
  - Writing 35 functions for project 'qemu-kvm'
  - Writing 19 functions for project 'sssd'
  - Writing 128 functions for project 'tor'
  - Writing 86 functions for project 'libvncserver'
  - Writing 80 functions for project 'gdk-pixbuf'
  - Writing 20 functions for project 'nspluginwrapper'
  - Writing 3 functions for project 'tpm'
  - Writing 3 functions for project 'yubico-pam'
  - Writing 67 functions for project 'cyrus-imapd'
  - Writing 12 functions for project 'polipo'
